year,month,day,hour,member,weekend,season,temperature,dewpoint,humidity,windspeed,windgust,pressure,precip,precipaccum,weather,rental
2016,10,1,0,80,1,fall,18.33,65,100,6,0,30.1,0,0,3,103
2016,10,1,1,53,1,fall,17.78,64,100,10,0,30.1,0,0,3,63
2016,10,1,2,27,1,fall,17.78,64,100,10,0,30.1,0,0,3,33
2016,10,1,3,20,1,fall,17.78,64,100,10,0,30.1,0.1,0,3,23
2016,10,1,4,11,1,fall,17.78,64,100,9,0,30.1,0,0,3,11
2016,10,1,5,14,1,fall,17.78,64,100,9,0,30.1,0,0,3,15
2016,10,1,6,38,1,fall,17.78,64,100,12,0,30.1,0,0,3,42
2016,10,1,7,104,1,fall,17.78,64,100,13,0,30.1,0,0,3,115
2016,10,1,8,133,1,fall,17.78,64,100,14,0,30.1,0,0.2,3,146
2016,10,1,9,145,1,fall,17.78,63.5,98,9,0,30.1,0.05,0,3,174
2016,10,1,10,228,1,fall,17.78,63.5,98,8.75,0,30.1,0.08,0,3,272
2016,10,1,11,353,1,fall,18.61,64.5,96.5,10,0,30.1,0,0,2,477
2016,10,1,12,382,1,fall,18.89,65,96,8,0,30.1,0,0,2,562
2016,10,1,13,286,1,fall,18.89,65.2,96.8,8,0,30.1,0,0,4,416
2016,10,1,14,326,1,fall,19.31,66,97.75,9.75,0,30.1,0,0,3,463
2016,10,1,15,424,1,fall,18.89,65,96,9,0,30.1,0,0,2,625
2016,10,1,16,368,1,fall,19.07,65,95,9,0,30.1,0,0,2,551
2016,10,1,17,431,1,fall,19.17,65,94.5,9.5,0,30.1,0,0,2,632
2016,10,1,18,364,1,fall,18.89,65,96,8,0,30.1,0,0,2,536
2016,10,1,19,351,1,fall,18.89,64,93,6,0,30.1,0,0,2,449
2016,10,1,20,238,1,fall,18.89,64,93,8,0,30.1,0,0,2,304
2016,10,1,21,194,1,fall,18.06,64,98.5,6,0,30.1,0,0,2,248
2016,10,1,22,162,1,fall,18.33,65,100,5,0,30.1,0,0,2,208
2016,10,1,23,115,1,fall,18.33,65,100,6,0,30.1,0,0,2,161
2016,10,2,0,142,1,fall,19.17,66,98,2.5,0,30.05,0,0,2,191
2016,10,2,1,77,1,fall,18.33,65,100,6.5,0,30.1,0,0,2,102
2016,10,2,2,47,1,fall,18.33,65,100,6.5,0,30.1,0,0,3,71
2016,10,2,3,23,1,fall,18.33,65,100,5,0,30.1,0,0,3,36
2016,10,2,4,9,1,fall,18.15,64.67,100,5.67,0,30.1,0,0,3,9
2016,10,2,5,4,1,fall,18.33,65,100,6.5,0,30.1,0,0,3,5
2016,10,2,6,34,1,fall,18.33,65,100,6,0,30.1,0,0,3,45
2016,10,2,7,68,1,fall,18.33,64.5,98.5,6.5,0,30.1,0,0,2,93
2016,10,2,8,152,1,fall,18.7,65,97.33,6,0,30.1,0,0.03,2,209
2016,10,2,9,297,1,fall,18.89,65,96,5,0,30.1,0,0,2,406
2016,10,2,10,418,1,fall,19.72,65,91.5,2.5,0,30.1,0,0,2,670
2016,10,2,11,490,1,fall,20.56,65,87,0,0,30.1,0,0,2,791
2016,10,2,12,580,1,fall,21.11,65,84,1.5,0,30.1,0,0,2,926
2016,10,2,13,560,1,fall,22.22,64,76,3,0,30.1,0,0,2,892
2016,10,2,14,511,1,fall,22.78,64,73,3,0,30,0,0,2,922
2016,10,2,15,531,1,fall,23.89,65,71,6,0,30,0,0,2,948
2016,10,2,16,563,1,fall,23.89,63,66,0,0,30,0,0,2,973
2016,10,2,17,557,1,fall,23.89,64,69,0,0,30,0,0,2,898
2016,10,2,18,531,1,fall,22.78,64,73,3,0,30,0,0,1,853
2016,10,2,19,396,1,fall,22.22,62,71,6,0,30,0,0,1,588
2016,10,2,20,228,1,fall,21.11,62,76,5,0,30,0,0,1,348
2016,10,2,21,145,1,fall,20.56,66,90,0,0,30,0,0,1,209
2016,10,2,22,121,1,fall,20,67,96,0,0,30,0,0,2,175
2016,10,2,23,50,1,fall,20.56,67,93,3,0,30,0,0,2,84
2016,10,3,0,31,0,fall,17.78,58,80,5,0,30.1,0,0,1,43
2016,10,3,1,14,0,fall,20,66,93,3,0,30,0,0,2,16
2016,10,3,2,10,0,fall,20,66,93,0,0,30,0,0,2,19
2016,10,3,3,7,0,fall,19.44,66,97,1.5,0,30,0,0,2,7
2016,10,3,4,14,0,fall,19.44,66,97,0,0,30,0,0,2,16
2016,10,3,5,89,0,fall,18.89,65,96,5,0,30,0,0,2,92
2016,10,3,6,295,0,fall,17.78,63,96,6,0,30,0,0,1,309
